"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.184911592E1,6.501206450E1,2.547083323E1,1.204979264E1,1.230000019E0,2.101000061E2,3.790092468E0,3.117160082E0
4.284891853E1,6.501205824E1,2.547081849E1,1.247527005E1,1.159999967E0,2.076000061E2,3.790092468E0,3.417538643E0
4.384981540E1,6.501205232E1,2.547079945E1,1.169304439E1,1.159999967E0,2.130000000E2,3.790092468E0,3.917535782E0
4.484958998E1,6.501204513E1,2.547078208E1,1.174199609E1,1.149999976E0,2.138000031E2,3.914288282E0,4.286635876E0
4.584954212E1,6.501203766E1,2.547076752E1,1.233715171E1,1.149999976E0,2.121999969E2,3.811988354E0,4.082665920E0
4.684914457E1,6.501202978E1,2.547075105E1,1.218004904E1,1.159999967E0,2.131000061E2,3.806202412E0,3.904468775E0
4.784970306E1,6.501202341E1,2.547073332E1,1.273028214E1,1.139999986E0,2.145000000E2,3.793758392E0,3.609467983E0
4.884948373E1,6.501201673E1,2.547071546E1,1.317638938E1,1.190000057E0,2.118999939E2,3.790092468E0,3.504612684E0
4.984948483E1,6.501200946E1,2.547069811E1,1.363317802E1,1.289999962E0,2.098999939E2,3.790092468E0,3.711920738E0
5.084933680E1,6.501200308E1,2.547067766E1,1.339386016E1,1.309999943E0,2.113000031E2,3.790092468E0,3.484707355E0
5.184933139E1,6.501199537E1,2.547065803E1,1.365069764E1,1.340000033E0,2.123999939E2,3.790092468E0,3.374511480E0
5.284926910E1,6.501198764E1,2.547063701E1,1.406561608E1,1.370000005E0,2.136000061E2,3.847353458E0,3.626636982E0
5.384929462E1,6.501198378E1,2.547061446E1,1.376385815E1,1.299999952E0,2.143999939E2,3.843961954E0,3.529337883E0
5.484892545E1,6.501197637E1,2.547058964E1,1.420929379E1,1.370000005E0,2.111999969E2,3.989367723E0,3.617244482E0
5.584965795E1,6.501196531E1,2.547056563E1,1.465418155E1,1.450000048E0,2.058999939E2,4.184898853E0,3.638788462E0
5.684942482E1,6.501195388E1,2.547054462E1,1.385358626E1,1.419999957E0,2.113000031E2,4.322837353E0,3.919808865E0
5.784944081E1,6.501194349E1,2.547052534E1,1.503992918E1,1.379999995E0,2.131999969E2,4.320755959E0,3.874651432E0
5.884948420E1,6.501193548E1,2.547050588E1,1.534394697E1,1.350000024E0,2.138000031E2,4.133691788E0,3.458135366E0
5.984950878E1,6.501192901E1,2.547048565E1,1.553968775E1,1.320000052E0,2.135000000E2,4.041860104E0,3.196243763E0
6.084899493E1,6.501192307E1,2.547046905E1,1.606715465E1,1.289999962E0,2.118000031E2,3.932681084E0,2.955051899E0
6.184921920E1,6.501191978E1,2.547045256E1,1.539460836E1,1.210000038E0,2.093999939E2,3.790092468E0,2.655403852E0
6.284928274E1,6.501191421E1,2.547043286E1,1.524672090E1,1.240000010E0,2.108999939E2,3.790092468E0,2.683949947E0
6.384917263E1,6.501190736E1,2.547040897E1,1.427125796E1,1.250000000E0,2.131000061E2,3.790092468E0,2.614800215E0
6.484918774E1,6.501189919E1,2.547038646E1,1.451686495E1,1.259999990E0,2.115000000E2,3.790092468E0,2.545427084E0
6.584946185E1,6.501189133E1,2.547036329E1,1.401967392E1,1.250000000E0,2.138999939E2,3.790092468E0,2.520977259E0
6.684904425E1,6.501188225E1,2.547034234E1,1.389327208E1,1.250000000E0,2.140000000E2,3.790092468E0,2.500000000E0
6.784901148E1,6.501187171E1,2.547032416E1,1.419362881E1,1.259999990E0,2.101000061E2,3.790092468E0,2.571415901E0
6.884984070E1,6.501186160E1,2.547030588E1,1.437887306E1,1.259999990E0,2.098000031E2,3.790092468E0,2.542547464E0
6.984971227E1,6.501185309E1,2.547029105E1,1.429324293E1,1.009999990E0,2.135000000E2,3.955575466E0,2.869520664E0
7.084926315E1,6.501184074E1,2.547027554E1,1.564908149E1,1.179999948E0,2.163000031E2,3.797234297E0,2.615382910E0
7.184894773E1,6.501182969E1,2.547026145E1,1.546030295E1,1.139999986E0,2.116000061E2,3.790092468E0,2.500000000E0
7.284938669E1,6.501182063E1,2.547024369E1,1.574637692E1,1.120000005E0,2.108000031E2,3.790092468E0,2.500000000E0
7.384941497E1,6.501181000E1,2.547022435E1,1.602769063E1,1.169999957E0,2.101000061E2,3.790092468E0,2.500000000E0
7.484935466E1,6.501180199E1,2.547021166E1,1.442490958E1,1.169999957E0,2.068999939E2,3.790092468E0,2.500000000E0
7.584977966E1,6.501179764E1,2.547021073E1,1.196043363E1,1.129999995E0,1.918999939E2,3.790092468E0,2.500000000E0
7.684981211E1,6.501179199E1,2.547022116E1,1.087205759E1,1.100000024E0,1.676000061E2,3.790092468E0,2.500000000E0
7.784895632E1,6.501179206E1,2.547024518E1,8.966541673E0,1.149999976E0,1.508000031E2,3.790092468E0,2.500000000E0
7.884901617E1,6.501178960E1,2.547026992E1,8.745902249E0,1.149999976E0,1.450000000E2,3.790092468E0,2.500000000E0
7.984967836E1,6.501178468E1,2.547029989E1,8.535884242E0,1.190000057E0,1.418999939E2,3.790092468E0,2.500000000E0
8.084944455E1,6.501177779E1,2.547032644E1,7.453674359E0,1.190000057E0,1.426000061E2,3.790092468E0,2.500000000E0
8.184907549E1,6.501177033E1,2.547034990E1,7.155583128E0,1.220000029E0,1.383000031E2,3.790092468E0,2.500000000E0
8.284977304E1,6.501176330E1,2.547037388E1,6.966988841E0,1.210000038E0,1.341999969E2,3.790092468E0,2.500000000E0
8.384977164E1,6.501175263E1,2.547039831E1,6.758132293E0,1.350000024E0,1.361999969E2,3.790092468E0,2.500000000E0
8.484942262E1,6.501174203E1,2.547042184E1,6.991414327E0,1.389999986E0,1.378999939E2,3.790092468E0,2.500000000E0
8.584897528E1,6.501173262E1,2.547044360E1,6.399805649E0,1.309999943E0,1.355000000E2,3.790092468E0,2.500000000E0
8.684911512E1,6.501172502E1,2.547046653E1,6.543547929E0,1.350000024E0,1.323000031E2,3.790092468E0,2.500000000E0
8.784905663E1,6.501171703E1,2.547049142E1,6.360935513E0,1.399999976E0,1.328999939E2,3.790092468E0,2.500000000E0
8.884964841E1,6.501170941E1,2.547051750E1,6.273537883E0,1.370000005E0,1.303000031E2,3.790092468E0,2.500000000E0
8.984906038E1,6.501170417E1,2.547054453E1,6.674603773E0,1.350000024E0,1.254000015E2,3.790092468E0,2.500000000E0
9.084945398E1,6.501169896E1,2.547057212E1,6.702744885E0,1.350000024E0,1.236999969E2,3.790092468E0,2.500000000E0
9.184946267E1,6.501169247E1,2.547059925E1,6.808034888E0,1.370000005E0,1.255000000E2,3.790092468E0,2.500000000E0
9.284910767E1,6.501168550E1,2.547062500E1,6.722040796E0,1.379999995E0,1.260000000E2,3.790092468E0,2.500000000E0
9.384890075E1,6.501167802E1,2.547064949E1,6.979674739E0,1.379999995E0,1.275999985E2,3.790092468E0,2.500000000E0
9.484988512E1,6.501166998E1,2.547067272E1,6.249271696E0,1.379999995E0,1.298000031E2,3.790092468E0,2.500000000E0
9.584984496E1,6.501166349E1,2.547069509E1,6.453499353E0,1.340000033E0,1.315000000E2,3.790092468E0,2.500000000E0
9.684978741E1,6.501165995E1,2.547071215E1,5.177806087E0,8.500000238E-1,1.199000015E2,3.790092468E0,2.500000000E0
9.784980689E1,6.501165932E1,2.547073046E1,3.806896961E0,7.799999714E-1,8.959999847E1,4.008916855E0,2.881494045E0
9.884932934E1,6.501165550E1,2.547075200E1,4.102798353E0,1.129999995E0,1.088000031E2,3.821332455E0,2.688904047E0
9.984923632E1,6.501164725E1,2.547077615E1,4.060566839E0,1.259999990E0,1.218000031E2,4.095809460E0,3.017629623E0
1.008494578E2,6.501163900E1,2.547079949E1,4.477075503E0,1.240000010E0,1.249000015E2,4.101852417E0,2.985485077E0
1.018496299E2,6.501163025E1,2.547082291E1,3.933013073E0,1.240000010E0,1.266999969E2,4.107825756E0,2.964692116E0
1.028495555E2,6.501162060E1,2.547084336E1,3.963413666E0,1.200000048E0,1.245000000E2,3.790092468E0,2.655364513E0
1.038494587E2,6.501161058E1,2.547086432E1,4.209085431E0,1.230000019E0,1.245000000E2,3.790092468E0,2.563561201E0
1.048493571E2,6.501159948E1,2.547089002E1,4.965500123E0,1.330000043E0,1.241999969E2,3.790092468E0,2.500000000E0
1.058492625E2,6.501159001E1,2.547091774E1,5.054433870E0,1.279999971E0,1.244000015E2,3.790092468E0,2.500000000E0
1.068492089E2,6.501158146E1,2.547094322E1,5.734858811E0,1.230000019E0,1.205999985E2,3.836301327E0,3.097827435E0
1.078499004E2,6.501157431E1,2.547096381E1,5.595336590E0,1.210000038E0,1.224000015E2,3.929845572E0,3.185888052E0
1.088498386E2,6.501156725E1,2.547098700E1,6.099430240E0,1.230000019E0,1.229000015E2,4.055791855E0,3.282890797E0
1.098498082E2,6.501156093E1,2.547101211E1,6.191475403E0,1.159999967E0,1.209000015E2,4.014989853E0,3.202303410E0
1.108489058E2,6.501155493E1,2.547103505E1,5.959179472E0,1.210000038E0,1.205999985E2,3.931013107E0,3.088261843E0
1.118497822E2,6.501154880E1,2.547106093E1,5.851517586E0,1.220000029E0,1.186999969E2,3.908406496E0,3.053593874E0
1.128497174E2,6.501154430E1,2.547108688E1,6.221455184E0,1.220000029E0,1.191999969E2,3.790092468E0,2.898566246E0
1.138493483E2,6.501153892E1,2.547111034E1,6.448753781E0,1.230000019E0,1.236999969E2,3.790092468E0,2.809609413E0
1.148493072E2,6.501153465E1,2.547113287E1,6.572292127E0,1.190000057E0,1.228000031E2,3.790092468E0,2.647256136E0
1.158489700E2,6.501152950E1,2.547115446E1,6.661773123E0,1.220000029E0,1.238000031E2,3.790092468E0,2.509434938E0
1.168496412E2,6.501152248E1,2.547117791E1,7.154819410E0,1.220000029E0,1.291000061E2,3.790092468E0,2.669963360E0
1.178495536E2,6.501151333E1,2.547120026E1,7.936989962E0,1.230000019E0,1.298999939E2,4.351014137E0,3.890663385E0
1.188494980E2,6.501150541E1,2.547121404E1,8.609113062E0,9.700000286E-1,1.386999969E2,5.319852352E0,4.953645706E0
1.198496022E2,6.501149829E1,2.547123689E1,9.086473309E0,1.289999962E0,1.295000000E2,5.436578751E0,5.311810493E0
1.208494266E2,6.501149158E1,2.547125923E1,9.147512564E0,1.240000010E0,1.221999969E2,5.590884209E0,5.496368885E0
1.218490790E2,6.501148357E1,2.547128376E1,9.519221409E0,1.200000048E0,1.226999969E2,5.585331917E0,5.436131001E0
1.228496467E2,6.501147444E1,2.547130644E1,9.695007697E0,1.250000000E0,1.240000000E2,5.464701653E0,5.326990604E0
1.238495433E2,6.501146615E1,2.547132923E1,1.035089621E1,1.250000000E0,1.244000015E2,5.104027271E0,5.001645565E0
1.248495151E2,6.501145682E1,2.547135117E1,1.061439004E1,1.279999971E0,1.255999985E2,4.782300949E0,4.704367638E0
1.258494835E2,6.501144759E1,2.547137372E1,1.135700986E1,1.269999981E0,1.255999985E2,4.664703369E0,4.623721123E0
1.268494988E2,6.501143879E1,2.547139590E1,1.157008846E1,1.250000000E0,1.245000000E2,4.274777889E0,4.091892719E0
1.278492006E2,6.501142927E1,2.547141928E1,1.252797944E1,1.259999990E0,1.280000000E2,4.266429424E0,3.956886053E0
1.288490460E2,6.501142111E1,2.547143846E1,1.217929002E1,1.129999995E0,1.264000015E2,3.888205290E0,3.576932192E0
1.298491425E2,6.501141488E1,2.547145662E1,1.242935467E1,1.139999986E0,1.250999985E2,3.790092468E0,3.198832273E0
1.308490297E2,6.501141035E1,2.547147532E1,1.185220925E1,1.090000033E0,1.220000000E2,3.790092468E0,3.004140854E0
1.318489738E2,6.501140235E1,2.547150136E1,1.280308079E1,1.169999957E0,1.211999969E2,3.790092468E0,3.443515539E0
1.328497646E2,6.501139474E1,2.547152812E1,1.332518027E1,1.210000038E0,1.205999985E2,3.853268623E0,3.636328697E0
1.338495410E2,6.501138742E1,2.547155042E1,1.333458400E1,1.169999957E0,1.225999985E2,3.790092468E0,3.468474627E0
1.348496363E2,6.501138091E1,2.547157198E1,1.366124812E1,1.179999948E0,1.220999985E2,3.790092468E0,3.445315361E0
1.358491019E2,6.501137367E1,2.547159534E1,1.440801763E1,1.240000010E0,1.235999985E2,3.790092468E0,3.282313585E0
1.368490009E2,6.501136585E1,2.547161819E1,1.496899630E1,1.309999943E0,1.245999985E2,3.790092468E0,3.142966747E0
1.378497336E2,6.501135881E1,2.547164314E1,1.567920578E1,1.259999990E0,1.226999969E2,3.790092468E0,3.264816761E0
1.388496342E2,6.501135201E1,2.547167068E1,1.614020880E1,1.250000000E0,1.209000015E2,3.790092468E0,3.422269106E0
1.398495118E2,6.501134466E1,2.547169694E1,1.673616068E1,1.279999971E0,1.208000031E2,3.790092468E0,3.457868576E0
1.408497936E2,6.501133815E1,2.547172316E1,1.707143108E1,1.230000019E0,1.220000000E2,3.790092468E0,3.522151232E0
1.418491097E2,6.501133217E1,2.547174805E1,1.750209914E1,1.250000000E0,1.210000000E2,3.790092468E0,3.226685524E0
1.428495685E2,6.501132570E1,2.547177357E1,1.788558725E1,1.279999971E0,1.236999969E2,3.790092468E0,2.895384550E0
1.438494604E2,6.501131944E1,2.547179763E1,1.873898484E1,1.259999990E0,1.238000031E2,3.790092468E0,2.896636248E0
1.448493771E2,6.501131428E1,2.547182345E1,1.867514582E1,1.210000038E0,1.226999969E2,3.790092468E0,2.981979847E0
1.458490885E2,6.501130793E1,2.547184619E1,1.838199795E1,1.240000010E0,1.300000000E2,3.790092468E0,3.055883884E0
1.468489479E2,6.501130181E1,2.547186829E1,1.846427719E1,1.210000038E0,1.255999985E2,3.790092468E0,2.868338823E0
